ENGLISH,TÜRKÇE
a,bir
abandon,terk etmek
ability,yetenek
able,hünerli
about,hakkında
above,üstünde
abroad,yurt dışı
absolute,mutlak
absolutely,kesinlikle
academic,akademik
accept,kabul etmek
acceptable,kabul edilebilir
access,erişim
accident,kaza
accommodation,konaklama
accompany,eşlik etmek
according to,buna göre
account,hesap
accurate,kesin
accuse,suçlamak
achieve,başarmak
achievement,başarı
acknowledge,kabullenmek
acquire,elde etmek
across,karşısında
act,davranmak
action,aksiyon
active,aktif
activity,aktivite
actor,aktör
actress,aktris
actual,gerçek
actually,Aslında
ad,reklam
adapt,adapte olmak
add,eklemek
addition,ek
additional,ek olarak
address,adres
administration,yönetim
admire,beğenmek
admit,itiraf etmek
adopt,evlat edinmek
adult,yetişkin
advance,ilerlemek
advanced,gelişmiş
advantage,avantaj
adventure,macera
advertise,ilan etmek
advertisement,reklamcılık
advertising,reklam
advice,tavsiye
advise,öğüt vermek
affair,mesele
affect,etkilemek
afford,parası yetmek
afraid,korkmuş
after,sonrasında
afternoon,öğleden sonra
afterwards,daha sonrasında
again,Tekrar
against,aykırı
age,yaş
aged,yaşlı
agency,Ajans
agenda,Gündem
agent,ajan
aggressive,saldırgan
ago,evvel
agree,kabul etmek
agreement,anlaşma
ah,Ah
ahead,ilerde
aid,yardım
aim,amaç
air,hava
aircraft,uçak
airline,havayolu
airport,havalimanı
alarm,alarm vermek
album,albüm
alcohol,alkol
alcoholic,alkollü
alive,canlı
all,Tümü
all right,Elbette
allow,izin vermek
almost,neredeyse
alone,yalnız
along,birlikte
already,çoktan
also,Ayrıca
alter,değiştirmek
alternative,alternatif
although,rağmen
always,Her zaman
amazed,şaşkın
amazing,inanılmaz
ambition,tutku
ambitious,hırslı
among,arasında
amount,miktar
analyse,analiz etmek
analysis,analiz
ancient,antik
and,Ve
anger,kızgınlık
angle,açı
angrily,öfkeyle
angry,sinirli
animal,hayvan
ankle,bilek
anniversary,yıl dönümü
announce,duyurmak
announcement,duyuru
annoy,kızdırmak
annoyed,sinirli
annoying,sinir bozucu
annual,yıllık
another,bir diğer
answer,cevap
anxious,endişeli
any,herhangi
any more,artık değil
anybody,kimse
anyone,herhangi biri
anything,herhangi bir şey
anyway,Neyse
anywhere,herhangi bir yer
apart,ayrı
apartment,apartman
apologize,özür dilemek
app,uygulama
apparent,görünen
apparently,görünüşe göre
appeal,çekici
appear,belli olmak
appearance,dış görünüş
apple,elma
application,başvuru
apply,uygula
appointment,randevu
appreciate,takdirle karşılamak
approach,yaklaşmak
appropriate,uygun
approval,onay
approve,onaylamak
approximately,yaklaşık olarak
april,nisan
architect,mimar
architecture,mimari
area,alan
argue,tartışmak
argument,argüman
arise,kalkmak
arm,kol
armed,silahlı
arms,silâh
army,ordu
around,etrafında
arrange,düzenlemek
arrangement,ayarlama
arrest,tutuklamak
arrival,varış
arrive,varmak
art,sanat
article,madde
artificial,yapay
artist,sanatçı
artistic,sanatsal
as,gibi
ashamed,utanmış
ask,sormak
asleep,uyuya kalmak
aspect,bakış açısı
assess,değer biçmek
assessment,değerlendirme
assignment,atama
assist,yardım
assistant,asistan
associate,iş arkadaşı
associated,birleşmiş
association,dernek
assume,farz etmek
at,-den
athlete,atlet
atmosphere,atmosfer
attach,eklemek
attack,saldırı
attempt,girişim
attend,katılmak
attention,dikkat
attitude,davranış
attract,cezbetmek
attraction,cazibe
attractive,çekici
audience,kitle
august,Ağustos
aunt,hala
author,yazar
authority,yetki
autumn,sonbahar
available,mevcut
average,ortalama
avoid,kaçınmak
award,ödül
aware,farkında olmak
away,uzak
awful,berbat
abolish,ortadan kaldırmak
abortion,kürtaj
absence,yokluk
absent,mevcut olmayan
absorb,emmek
abstract,soyut
absurd,absürt
abundance,bolluk
abuse,suistimal etmek
academy,akademi
accelerate,hızlanmak
accent,aksan
acceptance,kabul
accessible,erişilebilir
accidentally,kazara
accommodate,Karşılamak
accomplish,sonuçlandırmak
accomplishment,başarı
accordance,uygunluk
accordingly,buna göre
accountability,Hesap verebilirlik
accountable,sorumlu
accountant,muhasebeci
accounting,muhasebe
accumulate,biriktirmek
accumulation,birikim
accuracy,kesinlik
accurately,tam olarak
accusation,suçlama
accused,sanık
acid,asit
acquisition,kazanma
acre,dönüm
activate,etkinleştirmek
activation,aktivasyon
activist,aktivist
acute,akut
adaptation,uyarlama
addiction,bağımlılık
additionally,bunlara ek olarak
adequate,yeterli
adequately,yeterince
adhere,uymak
adjacent,bitişik
adjust,ayarlamak
adjustment,ayarlama
administer,idare etmek
administrative,Yönetim
administrator,yönetici
admission,giriş
adolescent,ergen
adoption,Benimseme
adverse,olumsuz
advocate,savunucu
aesthetic,estetik
affection,alaka
affordable,ekonomik
aftermath,sonradan
aggression,saldırı
agricultural,tarımsal
agriculture,tarım
aide,yardımcı olmak
aids,AIDS
albeit,Gerçi
alert,uyarı
alien,yabancı
align,hizalamak
alignment,uyuşma
alike,aynı
allegation,iddia
allege,iddia etmek
allegedly,iddiaya göre
alliance,ittifak
allocate,tahsis etmek
allocation,paylaştırma
allowance,ödenek
ally,müttefik
alongside,yanında
altogether,tamamen
aluminium,alüminyum
amateur,amatör
ambassador,büyükelçi
ambulance,ambulans
amend,değiştirmek
amendment,değişiklik
amid,ortasında
amusing,eğlenceli
analogy,benzetme
analyst,analist
ancestor,Ata
anchor,Çapa
angel,melek
animation,animasyon
annually,her yıl
anonymous,anonim
anticipate,beklemek
anxiety,endişe
apology,özür
apparatus,aparat
appealing,çekici
appetite,iştah
applaud,alkışlamak
applicable,uygulanabilir
applicant,başvuru sahibi
appoint,atamak
appreciation,takdir
appropriately,uygun olarak
arbitrary,keyfi
architectural,mimari
archive,Arşiv
arena,arena
arguably,tartışılır biçimde
arm,kol
array,sıralamak
arrow,ok
articulate,ifade
artwork,sanat eseri
ash,kül
aside,bir kenara
aspiration,istek
aspire,istemek
assassination,suikast
assault,saldırı
assemble,birleştirmek
assembly,toplantı
assert,iddia etmek
assertion,iddia
asset,varlık
assign,atamak
assistance,yardım
assumption,varsayım
assurance,güvence
assure,garanti etmek
astonishing,şaşırtıcı
asylum,iltica
atrocity,vahşet
attachment,EK
attain,elde etmek
attendance,katılma
attorney,avukat
attribute,bağlanmak
auction,açık arttırma
audio,ses
audit,denetim
authentic,otantik
authorize,yetki vermek
auto,Oto
automatic,otomatik
automatically,otomatik olarak
autonomy,özerklik
availability,kullanılabilirlik
await,beklemek
awareness,farkındalık
awkward,garip
backdrop,zemin
backing,destek
backup,destek olmak
badge,rozet
bail,kefalet
balanced,dengeli
ballet,bale
balloon,balon
ballot,oy pusulası
banner,afiş
bare,çıplak
barely,neredeyse
bargain,pazarlık
barrel,varil
basement,bodrum
basket,sepet
bass,bas
bat,yarasa
battlefield,savaş alanı
bay,koy
beam,kiriş
beast,canavar
behalf,adına
beloved,sevgili
bench,Bank
benchmark,kalite testi
beneath,altında
beneficial,yararlı
beneficiary,yararlanıcı
beside,yanında
besides,Ayrıca
betray,ihanet etmek
bias,ön yargı
bid,teklif etmek
bind,bağlanmak
biography,biyografi
biological,biyolojik
bishop,piskopos
bizarre,tuhaf
blade,bıçak ağzı
blanket,battaniye
blast,büyük patlama
bleed,kanama
blend,karışım
bless,kutsamak
blessing,nimet
blow,üflemek
boast,övünme
bold,gözü pek
bombing,bombalama
bonus,bonus
booking,rezervasyon
boom,Boom
boost,artırmak
bounce,sıçrama
bound,ciltli
boundary,sınır
bow,yay
breach,çiğneme
breakdown,bozulma
breakthrough,atılım
breed,yavrulamak
brick,tuğla
briefly,kısaca
broadband,geniş bant
broadcaster,yayıncı
broadly,genel olarak
browser,tarayıcı
brutal,vahşi
buck,bükmek
buddy,ahbap
buffer,tampon
bug,böcek
bulk,toplu
burden,yük
bureaucracy,bürokrasi
burial,gömme
burst,patlamak
baby,Bebek
back,geri
background,arka plan
backwards,geriye doğru
bacteria,bakteriler
bad,kötü
badly,kötü
bag,çanta
bake,pişmek
balance,denge
ball,top
ban,yasaklamak
banana,muz
band,bant
bank,banka
bar,çubuk
barrier,engel
base,temel
baseball,beyzbol
based,temelli
basic,temel
basically,temel olarak
basis,temel
basketball,Basketbol
bath,banyo
bathroom,banyo
battery,pil
battle,savaş
be,olmak
beach,sahil
bean,fasulye
bear,ayı
beat,vurmak
beautiful,Güzel
beauty,güzellik
because,Çünkü
become,haline gelmek
bed,yatak
bedroom,yatak odası
bee,bal arısı
beef,biftek
beer,bira
before,önce
beg,dilenmek
begin,başlamak
beginning,başlangıç
behave,davranmak
behaviour,davranış
behind,arka
being,yapı
belief,inanç
believe,inanmak
bell,zil
belong,ait olmak
below,altında
belt,kemer
bend,bükülmek
benefit,fayda
bent,kıvrılmış
best,en iyi
bet,bahis
better,daha iyi
between,arasında
beyond,öte
bicycle,bisiklet
big,büyük
bike,bisiklet
bill,fatura
billion,milyar
bin,çöp Kutusu
biology,Biyoloji
bird,kuş
birth,doğum
birthday,doğum günü
biscuit,bisküvi
bit,biraz
bite,ısırmak
bitter,acı
black,siyah
blame,suçlamak
blank,boşluk
blind,kör
block,engellemek
blog,Blog
blonde,sarışın
blood,kan
blow,üflemek
blue,mavi
board,pano
boat,bot
body,vücut
boil,kaynamak
bomb,bomba
bond,bağlamak
bone,kemik
book,kitap
boot,bot
border,sınır
bored,sıkılmış
boring,sıkıcı
born,doğmak
borrow,borç almak
boss,patron
both,ikisi birden
bother,rahatsız etmek
bottle,şişe
bottom,alt
bowl,tas
box,kutu
boy,erkek çocuk
boyfriend,erkek arkadaş
brain,beyin
branch,dal
brand,marka
brave,cesur
bread,ekmek
break,kırmak
breakfast,kahvaltı
breast,göğüs
breath,nefes
breathe,nefes almak
breathing,nefes alma
bride,gelin
bridge,köprü
brief,kısa bilgi
bright,parlak
brilliant,muhteşem
bring,getirmek
broad,kalın
broadcast,yayın
broken,kırık
brother,Erkek kardeş
brown,kahverengi
brush,fırçalamak
bubble,kabarcık
budget,bütçe
build,inşa etmek
building,bina
bullet,mermi
bunch,demet
burn,yakmak
bury,gömmek
bus,otobüs
bush,çalı
business,işletme
businessman,işadamı
busy,Meşgul
but,Ancak
butter,tereyağı
button,düğme
buy,satın almak
by,ile
bye,Hoşçakal
cabin,kabin
cabinet,kabine
calculation,hesaplama
canal,kanal
candle,mum
canvas,tuval
capability,kabiliyet
capitalism,kapitalizm
capitalist,kapitalist
carbon,karbon
cargo,kargo
carriage,taşıma
carve,oymak
casino,kumarhane
casual,gündelik
casualty,yaralı
catalogue,katalog
cater,hitap etmek
cattle,sığırlar
caution,Dikkat
cautious,dikkatli
cave,mağara
cease,durdurmak
cemetery,mezarlık
certainty,kesinlik
certificate,sertifika
challenging,zorlu
chamber,bölme
championship,şampiyonluk
chaos,kaos
characterize,karakterize etmek
charm,cazibe
charming,alımlı
charter,tüzük
chase,takip etmek
cheek,yanak
cheer,tezahürat etmek
choir,koro
chop,kesmek
chronic,kronik
chunk,yastık
circuit,devre
circulate,dolaşmak
circulation,tiraj
citizenship,vatandaşlık
civic,sivil
civilian,sivil
civilization,medeniyet
clarify,açıklamak
clarity,açıklık
clash,çarpışma
classification,sınıflandırma
classify,sınıflandırmak
cleaning,temizlik
clerk,memur
cliff,uçurum
cling,yapışan
clinic,klinik
clinical,klinik
clip,klips
closure,kapanma
cluster,küme
coalition,koalisyon
coastal,kıyı
cocktail,kokteyl
cognitive,bilişsel
coincide,çakmak
coincidence,tesadüf
collaborate,işbirliği yapmak
collaboration,işbirliği
collective,toplu
collector,kolektör
collision,çarpışma
colonial,sömürgeci
colony,koloni
colourful,renkli
columnist,köşe yazarı
combat,savaşmak
comic,çizgi roman
commander,komutan
commence,başlamak
commentary,yorum
commentator,yorumcu
commerce,ticaret
commissioner,komiser
commodity,emtia
communist,komünist
companion,Arkadaş
comparable,karşılaştırılabilir
comparative,karşılaştırmalı
compassion,merhamet
compel,zorlamak
compelling,zorlayıcı
compensate,tazmin etmek
compensation,tazminat
competence,yeterlik
competent,yetkili
compile,derlemek
complement,Tamamlayıcı
completion,tamamlama
complexity,karmaşıklık
compliance,uyma
complication,komplikasyon
comply,uymak
compose,bestelemek
composer,besteci
composition,kompozisyon
compound,birleştirmek
comprehensive,kapsayıcı
comprise,içermek
compromise,anlaşmak
compulsory,zorunlu
compute,hesaplamak
conceal,gizlemek
concede,kabul etmek
conceive,gebe kalmak
conception,gebe kalma
concession,taviz
concrete,beton
condemn,kınamak
confer,vermek
confess,itiraf etmek
confession,itiraf
configuration,konfigürasyon
confine,sınırlamak
confirmation,Onayla
confront,karşısına çıkmak
confrontation,yüzleşme
confusion,"bilinç bulanıklığı, konfüzyon"
congratulate,tebrik etmek
congregation,cemaat
congressional,kongre
conquer,fethetmek
conscience,vicdan
consciousness,bilinç
consecutive,ardışık
consensus,uzlaşma
consent,onay
consequently,sonuç olarak
conservation,koruma
conserve,korumak
considerable,hatırı sayılır
considerably,önemli ölçüde
consistency,tutarlılık
consistently,sürekli
consolidate,birleştirmek
conspiracy,komplo
constituency,seçim bölgesi
constitute,oluşturmak
constitution,anayasa
constitutional,anayasal
constraint,kısıtlama
consult,danışmak
consultant,danışman
consultation,danışma
consumption,tüketim
contemplate,düşünmek
contempt,hor görme
contend,itiraz etmek
contender,yarışmacı
content,içerik
contention,çekişme
continually,sürekli olarak
contractor,müteahhit
contradiction,çelişki
contrary,zıt
contributor,katkıda bulunan kimse
controversial,tartışmalı
controversy,tartışma
convenience,kolaylık
convention,ortak düşünce
conventional,geleneksel
conversion,dönüştürmek
convey,iletmek
convict,mahkum etmek
conviction,mahkumiyet
convincing,inandırıcı
cooperate,işbirliği yapmak
cooperative,işbirliği ile ilgili
coordinate,koordinat
coordination,Koordinasyon
coordinator,koordinatör
cop,polis
cope,başa çıkmak
copper,bakır
copyright,telif hakkı
corporation,şirket
correction,düzeltme
correlate,korelasyon
correlation,korelasyon
correspond,karşılık
correspondence,yazışma
correspondent,muhabir
corresponding,karşılıklı
corridor,koridor
corrupt,yozlaşmış
corruption,yolsuzluk
costly,pahalı
councillor,meclis üyesi
counselling,danışmanlık
counsellor,danışman
counter,tezgah
counterpart,karşılık
countless,sayısız
coup,darbe
courtesy,nezaket
coverage,kapsama alanı
crack,çatırtı
craft,zanaat
crawl,sürünmek
creativity,yaratıcılık
creator,yaratıcı
credibility,güvenilirlik
credible,güvenilir
creep,sürünme
critically,eleştirel olarak
critique,eleştiri
crown,taç
crude,ham
cruise,dolaşmak
crush,ezmek
crystal,kristal
cue,isteka
cult,kült
cultivate,yetiştirmek
curiosity,merak
curious,meraklı
curriculum,Müfredat
custody,velayet
cute,Sevimli
cutting,kesme
cynical,alaycı
cable,kablo
cafe,kafe
cake,kek
calculate,hesaplamak
call,Arama
calm,sakinlik
camera,kamera
camp,kamp
campaign,kampanya
camping,kamp yapmak
campus,yerleşke
can,olabilmek
cancel,iptal etmek
cancer,kanser
candidate,aday
cannot,yapamamak
cap,kapak
capable,yetenekli
capacity,kapasite
capital,başkent
captain,Kaptan
capture,esir almak
car,araba
card,kart
care,bakım
career,kariyer
careful,dikkatli olmak
carefully,dikkatlice
careless,dikkatsiz
carpet,halı
carrot,havuç
carry,taşımak
cartoon,karikatür
case,dava
cash,peşin
cast,döküm
castle,kale
cat,kedi
catch,yakalamak
category,kategori
cause,neden
cd,CD
ceiling,tavan
celebrate,kutlamak
celebration,kutlama
celebrity,ünlü
cell,hücre
cent,yüzyıl
central,merkezi
centre,merkez
century,yüzyıl
ceremony,tören
certain,kesin
certainly,kesinlikle
chain,zincir
chair,sandalye
chairman,başkan
challenge,meydan okumak
champion,şampiyon
chance,şans
change,değiştirmek
channel,kanal
chapter,bölüm
character,karakter
characteristic,karakteristik
charge,şarj
charity,hayır kurumu
chart,çizelge
chat,sohbet
cheap,ucuz
cheat,aldatmak
check,kontrol etmek
cheerful,neşeli
cheese,peynir
chef,şef
chemical,kimyasal
chemistry,kimya
chest,göğüs
chicken,tavuk
chief,şef
child,çocuk
childhood,çocukluk
chip,yonga
chocolate,çikolata
choice,seçenek
choose,seçmek
church,kilise
cigarette,sigara
cinema,sinema
circle,daire
circumstance,durum
cite,anmak
citizen,vatandaş
city,şehir
civil,sivil
claim,iddia
class,sınıf
classic,klasik
classical,klasik
classroom,sınıf
clause,maddi
clean,temiz
clear,temizlemek
clearly,Açıkça
clever,akıllı
click,tıklamak
client,müşteri
climate,iklim
climb,tırmanmak
clock,saat
close,kapalı
closed,kapalı
closely,yakından
cloth,bez
clothes,kıyafetler
clothing,Giyim
cloud,bulut
club,kulüp
clue,ipucu
coach,koç
coal,kömür
coast,sahil
coat,kaban
code,kodlamak
coffee,Kahve
coin,madeni para
cold,soğuk
collapse,yıkılmak
colleague,iş arkadaşı
collect,TOPLAMAK
collection,Toplamak
college,kolej
colour,renk
coloured,renkli
column,kolon
combination,kombinasyon
combine,birleştirmek
come,Gelmek
comedy,komedi
comfort,konfor
comfortable,rahat
command,emretmek
comment,Yorum
commercial,reklam
commission,komisyon
commit,işlemek
commitment,bağlılık
committee,Kurul
common,yaygın
commonly,yaygın olarak
communicate,iletişim
communication,iletişim
community,toplum
company,şirket
compare,karşılaştırmak
comparison,karşılaştırmak
compete,rekabet etmek
competition,yarışma
competitive,rekabetçi
competitor,yarışmacı
complain,şikayet etmek
complaint,şikayet
complete,tamamlamak
completely,tamamen
complex,karmaşık
complicated,karmaşık
component,bileşen
computer,bilgisayar
concentrate,yoğunlaşmak
concentration,konsantrasyon
concept,kavram
concern,kaygı
concerned,endişeli
concert,konser
conclude,sonuçlandırmak
conclusion,çözüm
condition,durum
conduct,yönetmek
conference,konferans
confidence,kendinden emin
confident,kendinden emin
confirm,onaylamak
conflict,anlaşmazlık
confuse,kafası karışmak
confused,kafası karışmış
confusing,kafa karıştırıcı
connect,bağlamak
connected,bağlı
connection,bağlantı
conscious,bilinçli
consequence,sonuçlar
conservative,tutucu
consider,dikkate almak
consideration,düşünce
consist,meydana gelmek
consistent,tutarlı
constant,devamlı
constantly,sürekli
construct,yapmak
construction,yapı
consume,tüketmek
consumer,tüketici
contact,temas etmek
contain,içermek
container,konteyner
contemporary,modern
content,içerik
contest,yarışma
context,bağlam
continent,kıta
continue,devam etmek
continuous,sürekli
contract,sözleşme
contrast,zıtlık
contribute,katkı yapmak
contribution,katkı
control,kontrol
convenient,uygun
conversation,konuşma
convert,dönüştürmek
convince,ikna etmek
convinced,ikna edilmiş
cook,aşçı
cooker,Ocak
cooking,yemek pişirmek
cool,Serin
copy,kopya
core,çekirdek
corner,köşe
corporate,Kurumsal
correct,doğru
correctly,doğru şekilde
cost,maliyet
costume,kostüm
cottage,kır evi
cotton,pamuk
could,abilir
council,konsey
count,saymak
country,ülke
countryside,kırsal kesim
county,ilçe
couple,çift
courage,cesaret
course,kurs
court,mahkeme
cousin,kuzen
cover,kapak
covered,kapalı
cow,inek
crash,kaza
crazy,deli
cream,krem
create,yaratmak
creation,yaratma
creative,yaratıcı
creature,yaratık
credit,kredi
crew,mürettebat
crime,suç
criminal,adli
crisis,kriz
criterion,kriter
critic,eleştirmen
critical,eleştirel
criticism,eleştiri
criticize,eleştirmek
crop,mahsul
cross,geçmek
crowd,kalabalık
crowded,kalabalık
crucial,hayati
cruel,acımasız
cry,ağlamak
cultural,kültürel
culture,kültür
cup,bardak
cupboard,büfe
cure,tedavi
curly,kıvırcık
currency,para birimi
current,akım
currently,şu anda
curtain,perde
curve,eğri
curved,kavisli
custom,gelenek
customer,müşteri
cut,kesmek
cycle,döngü
dairy,günlük
dam,baraj
damaging,zararlı
dare,cesaret etmek
darkness,karanlık
database,veri tabanı
dawn,şafak
deadline,son teslim tarihi
deadly,ölümcül
dealer,satıcı
debris,enkaz
debut,çıkış
decision-making,karar verme
decisive,kararlı
deck,güverte
declaration,beyanname
dedicated,özel
dedication,adanmışlık
deed,tapu
deem,kabul etmek
default,varsayılan
defect,kusur
defender,savunmacı
defensive,savunmacı
deficiency,eksiklik
deficit,açıklık
defy,meydan okumak
delegate,temsilci
delegation,delegasyon
delete,silmek
delicate,narin
democracy,demokrasi
democratic,demokratik
demon,iblis
demonstration,gösteri
denial,inkar
denounce,kınamak
dense,yoğun
density,yoğunluk
depart,ayrılmak
dependence,bağımlılık
dependent,bağımlı
depict,göstermek
deploy,dağıtmak
deployment,dağıtım
deposit,Depozito
depression,depresyon
deprive,mahrum etmek
deputy,milletvekili
derive,türetmek
descend,inmek
descent,iniş
designate,Tayin etmek
desirable,istenen
desktop,masaüstü
desperately,umutsuzca
destruction,yıkım
destructive,yıkıcı
detain,gözaltına almak
detection,tespit etme
detention,alıkoyma
deteriorate,bozulmak
determination,kararlılık
devastate,harap etmek
devil,şeytan
devise,tasarlamak
devote,adamak
diagnose,teşhis koymak
diagnosis,Teşhis
dictate,dikte
dictator,diktatör
differ,farklılık
differentiate,ayırt etmek
dignity,itibar
dilemma,ikilem
dimension,boyut
diminish,azaltmak
dip,dalmak
diplomat,diplomat
diplomatic,diplomatik
directory,dizin
disability,sakatlık
